Development Economics Introduction,"Here's an overview of our course  on development economics. First thing to notice  that this is a full course in development economics. If you work your way through all of the material, you will have a very good background in all of the major issues and ideas of the field. Also, we've made the course non-technical but on the cutting edge; we cover a lot of recent papers  in development economics. This means that the course will be accessible to beginners but also we will have lots of materials of interest to the specialist.",https://www.youtube.com/watch?v=CYl_tYUduT4
Development Economics Introduction,"You can work your way  through the material like a course; we're very happy about that; but you can also pick and choose  what's of most interest to you, à la Khan Academy. As I'll talk about it in a minute, we do have a final exam, if you work your way through it as a course. There are two optional sections on India and on people in development economics, and again, feel free to browse those as your interest takes you. We begin in the course with some basic facts of development economics. We look at some of the most fundamental causes of the wealth of nations such as geography.",https://www.youtube.com/watch?v=CYl_tYUduT4
Development Economics Introduction,"We look at some of the workhorse models in the field such as the Solow model of economic growth, the O-ring model, big push models. We look at some key sectors: water, food, education. Some key institutions:  property rights, corruption, finance. In terms of evaluation,  there are end of video quizzes which are usually fairly easy. Just to give you an idea whether  you were listening or not, there's a midterm with  some essay-type questions that's entirely optional, it's not graded.",https://www.youtube.com/watch?v=CYl_tYUduT4
Development Economics Introduction,"Then there's a final exam with a certificate. If you do well on the final exam, you get the certificate. Finally, we want you to share this material, so we are very happy if you are teaching development economics and you'd like to point your students to one of our lectures. Great! Feel free to do that.",https://www.youtube.com/watch?v=CYl_tYUduT4
Development Economics Introduction,"Put the material on your blog, of course,  point them to mruniversity.com, but feel free to share this material. We want it to be used  as widely as possible. Also, we'd love to have you contribute. We've already received a number of excellent contributions on issues in development economics. You can do things like suggest more end of video questions  and answers for the quizzers.",https://www.youtube.com/watch?v=CYl_tYUduT4
Development Economics Introduction,"You can suggest papers to read, you can upload even your own videos. We're very happy about this. So, that's it, development economics, we hope you enjoy the course. Thanks.",https://www.youtube.com/watch?v=CYl_tYUduT4
Basic Facts of Growth and Development,"Hi. Today, we're going to begin with some of the basic facts about growth and development. The most basic fact of all is that there are rich countries and there are poor countries, and the differences  between them are extreme. So, the United States, it's not the world's richest economy  in terms of GDP per capita, but it's the world's  richest large economy. And we see the GDP per capita in the United States is about $47,000 per year.",https://www.youtube.com/watch?v=-fJZlPzDMvc
Basic Facts of Growth and Development,"Now, over here, in the poorest ten countries in the world; the very poorest, Congo and Burundi, competing for the bottom spot. What we see here is that GDP per capita in these countries, it's not ten times lower, -- it's not even a hundred times lower, it's a little bit more than a hundred times lower  than in the United States, about a hundred times lower than in some of the European economies. So, the differences in GDP per capita are extreme. Now, these differences  in GDP per capita, as much as possible, we have tried to correct for differences in prices and so forth, to make these comparable figures. So, these are what we call PPP adjusted figures, and for more on that adjustment, which is not always perfect, but as close as we can get, -- do check out our video  on purchasing power parity.",https://www.youtube.com/watch?v=-fJZlPzDMvc
Basic Facts of Growth and Development,"Another thing to notice is that most of the poorest  countries in the world, not all of them, but most of the poorest countries in the world are in Africa. Timor-Leste used to be part of Indonesia and, of course, there are other poor countries in the world. But the very poorest countries tend to cluster in Africa. Now, why is the United States so much richer than these other countries? Well, the most basic reason is that the United States has grown consistently for a very  long period of time.",https://www.youtube.com/watch?v=-fJZlPzDMvc
Basic Facts of Growth and Development,"So, what this graph shows, is GDP per capita, real GDP per capita,  over the last 210 years, from 1800 to 2010. Now, this graph. We've graphed it in an interesting way. Notice here, on the vertical axis, we have doublings. So, this is called a ratio scale.",https://www.youtube.com/watch?v=-fJZlPzDMvc
Basic Facts of Growth and Development,"So, from 1000 to 2000 is a doubling. >From 2000 to 4000  is a doubling. >From 4000 to 800  is a doubling, and so forth. One of the reasons we have done that, is that it makes it easier  to compare growth rates. What this means is that a straight line on this graph is a line of constant growth.",https://www.youtube.com/watch?v=-fJZlPzDMvc
Basic Facts of Growth and Development,"In fact, we can do  a little bit better than that. Let's look at a doubling time. So, GDP per capita in the United States hit about $2,000 somewhere  around 1840-1845. It doubled to 4000 by 1880. So that's a difference, a doubling time of 35 years.",https://www.youtube.com/watch?v=-fJZlPzDMvc
